,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,3,seulement,only
4,4,police,police
5,5,pensais,thought
6,7,genre,kind
7,8,mois,month
8,9,frère,brother
9,10,car,because
10,11,mettre,to put
11,12,aucun,no
12,13,eux,them
13,14,chaque,each
14,15,parlé,speak
15,16,devrait,should
16,17,bébé,baby
17,18,longtemps,long time
18,19,heures,hours
19,20,pendant,while
20,21,revoir,meet again
21,22,aucune,any
22,24,compris,understood
23,25,savais,knew
24,26,étaient,were
25,27,pourrais,could
26,28,affaire,case
27,29,donner,give
28,30,type,type
29,31,leurs,their
30,32,donné,given
31,33,train,train
32,34,corps,body
33,35,endroit,place
34,36,yeux,eyes
35,37,façon,way
36,38,écoute,listen
37,39,dont,whose
38,40,trouve,find
39,41,premier,first
40,42,main,hand
41,43,pouvoir,power
42,44,vieux,old
43,45,sois,be
44,46,tiens,here
45,47,matin,morning
46,48,enfant,child
47,49,point,point
48,50,venu,came
49,51,suite,after
50,52,pardon,sorry
51,53,venez,come
52,54,devant,in front of
53,55,vers,towards
54,57,demandé,request
55,58,chambre,bedroom
56,59,mis,placed
57,60,belle,beautiful
58,61,droit,law
59,62,aimerais,would like to
60,63,mari,husband
61,64,cause,cause
62,65,enfin,finally
63,66,espère,hope
64,67,attendez,Wait
65,68,parti,left
66,69,nouvelle,new
67,70,arrêter,Stop
68,71,dirait,would say
69,72,terre,Earth
70,73,compte,account
71,74,donne,given
72,75,loin,far
73,76,fin,end
74,77,croire,believe
75,78,chérie,sweetheart
76,79,plutôt,rather
77,80,aura,will have
78,81,filles,girls
79,82,jouer,to play
80,83,bureau,office
